timestamp,headingDeg,encoderCount
1786865691.0656252,0.14,-29235
1786865691.086535,0.14,-29257
1786865691.1071973,0.14,-29279
1786865691.1281037,0.14,-29301
1786865691.1476688,0.14,-29322
1786865691.1695976,0.14,-29344
1786865691.1886883,0.13,-29366
1786865691.2091856,0.13,-29387
1786865691.2300181,0.14,-29410
1786865691.2462585,0.14,-29432
1786865691.2720146,0.13,-29454
1786865691.2877302,0.13,-29476
1786865691.3088331,0.14,-29498
1786865691.3307338,0.13,-29520
1786865691.350761,0.14,-29542
1786865691.3713207,0.14,-29564
1786865691.3920236,0.14,-29586
1786865691.412888,0.13,-29608
1786865691.4342902,0.14,-29631
1786865691.454341,0.13,-29653
1786865691.476157,0.13,-29675
1786865691.4941914,0.13,-29697
1786865691.5162601,0.14,-29719
1786865691.5364008,0.14,-29741
1786865691.5579357,0.14,-29763
1786865691.5775523,0.14,-29784
1786865691.5995543,0.14,-29806
1786865691.6200411,0.14,-29828
1786865691.6394973,0.14,-29851
1786865691.66088,0.14,-29873
1786865691.6786869,0.14,-29896
1786865691.6967278,0.14,-29918
1786865691.7200181,0.14,-29940
1786865691.7424989,0.14,-29962
1786865691.7617397,0.14,-29984
1786865691.7834566,0.14,-30006
1786865691.8038666,0.14,-30028
1786865691.824674,0.14,-30050
1786865691.8447707,0.14,-30071
1786865691.8633757,0.14,-30093
1786865691.8862262,0.14,-30115
1786865691.9053724,0.14,-30137
1786865691.9253821,0.14,-30159
1786865691.9466383,0.14,-30182
1786865691.967449,0.14,-30205
1786865691.988081,0.14,-30227
1786865692.0075543,0.14,-30249
1786865692.0287547,0.14,-30273
1786865692.0459702,0.14,-30295
1786865692.070453,0.14,-30317
1786865692.0851378,0.15,-30339
1786865692.107858,0.15,-30361
1786865692.126861,0.14,-30382
1786865692.1521325,0.14,-30405
1786865692.17137,0.14,-30426
1786865692.1896052,0.14,-30448
1786865692.2097144,0.14,-30470
1786865692.231301,0.15,-30492
1786865692.2545407,0.15,-30514
1786865692.2738268,0.15,-30535
1786865692.294324,0.15,-30556
1786865692.3163805,0.15,-30578
1786865692.3342662,0.15,-30600
1786865692.3570025,0.15,-30622
1786865692.3766115,0.15,-30643
1786865692.398018,0.15,-30665
1786865692.4185314,0.15,-30687
1786865692.438425,0.14,-30709
1786865692.45975,0.14,-30731
1786865692.4745743,0.15,-30753
1786865692.495371,0.15,-30774
1786865692.5182464,0.15,-30795
1786865692.536902,0.15,-30818
1786865692.5579998,0.15,-30840
1786865692.5785787,0.14,-30862
1786865692.6031532,0.14,-30884
1786865692.6202958,0.14,-30906
1786865692.6426153,0.14,-30928
1786865692.6629188,0.14,-30951
1786865692.6827283,0.14,-30973
1786865692.7050314,0.14,-30995
1786865692.7243032,0.14,-31017
1786865692.7439091,0.14,-31039
1786865692.7660446,0.14,-31061
1786865692.779936,0.14,-31083
1786865692.8076339,0.14,-31104
1786865692.8279355,0.14,-31126
1786865692.84859,0.14,-31148
1786865692.8654096,0.14,-31170
1786865692.8847313,0.14,-31192
1786865692.9105453,0.14,-31214
1786865692.9276886,0.14,-31236
1786865692.9469335,0.14,-31258
1786865692.967462,0.14,-31280
1786865692.9909055,0.14,-31302
1786865693.011667,0.14,-31324
1786865693.0300012,0.14,-31346
1786865693.0532598,0.14,-31368
1786865693.0741456,0.14,-31390
1786865693.0927799,0.14,-31412
1786865693.1146548,0.14,-31434
1786865693.1351867,0.14,-31456
1786865693.1558223,0.14,-31477
1786865693.176411,0.14,-31498
1786865693.1964445,0.14,-31520
1786865693.2169385,0.14,-31542
1786865693.236872,0.14,-31564
1786865693.2584486,0.14,-31586
1786865693.2784717,0.14,-31608
1786865693.2994099,0.13,-31630
1786865693.3164468,0.14,-31652
1786865693.3374007,0.14,-31673
1786865693.3589797,0.14,-31694
1786865693.3810616,0.14,-31716
1786865693.400787,0.14,-31739
1786865693.4220219,0.14,-31762
1786865693.442359,0.14,-31784
1786865693.4603028,0.15,-31806
1786865693.4833205,0.15,-31828
1786865693.5033157,0.14,-31850
1786865693.5248394,0.15,-31872
1786865693.5441017,0.15,-31894
1786865693.56448,0.15,-31915
1786865693.5853922,0.15,-31937
1786865693.6066563,0.15,-31959
1786865693.626967,0.15,-31980
1786865693.647383,0.15,-32002
1786865693.6673372,0.15,-32024
1786865693.6881628,0.15,-32046
1786865693.708933,0.15,-32067
1786865693.7298,0.16,-32089
1786865693.7442462,0.16,-32111
1786865693.767761,0.15,-32132
1786865693.787025,0.15,-32154
1786865693.8073568,0.15,-32176
1786865693.8309352,0.15,-32199
1786865693.8499649,0.15,-32220
1786865693.8693707,0.15,-32242
1786865693.8928015,0.15,-32264
1786865693.9118893,0.15,-32285
1786865693.932389,0.15,-32307
1786865693.952017,0.15,-32330
1786865693.97477,0.15,-32352
1786865693.9943702,0.15,-32373
1786865694.009058,0.15,-32395
1786865694.0365179,0.15,-32417
1786865694.044801,0.14,-32439
1786865694.077537,0.15,-32461
1786865694.0978222,0.14,-32483
1786865694.1186118,0.14,-32505
1786865694.134783,0.14,-32526
1786865694.1546414,0.15,-32547
1786865694.1775904,0.15,-32569
1786865694.1963708,0.15,-32591
1786865694.2199314,0.15,-32613
1786865694.2412982,0.16,-32635
1786865694.2615733,0.16,-32657
1786865694.2794478,0.15,-32679
1786865694.3000615,0.15,-32700
1786865694.323225,0.15,-32722
1786865694.342095,0.15,-32744
1786865694.3627522,0.15,-32766
1786865694.3836343,0.15,-32788
1786865694.4047081,0.15,-32811
1786865694.425655,0.15,-32833
1786865694.4457488,0.15,-32855
1786865694.4670515,0.16,-32877
1786865694.4874804,0.16,-32899
1786865694.5041318,0.15,-32921
1786865694.5228183,0.15,-32943
1786865694.5461054,0.16,-32965
1786865694.5690308,0.16,-32987
1786865694.5881839,0.16,-33008
1786865694.6057827,0.16,-33030
1786865694.6263213,0.16,-33052
1786865694.6475744,0.15,-33073
1786865694.6713617,0.15,-33094
1786865694.6920033,0.15,-33116
1786865694.712281,0.15,-33138
1786865694.730894,0.16,-33160
1786865694.7534163,0.16,-33181
1786865694.772795,0.16,-33202
1786865694.794537,0.16,-33224
1786865694.814879,0.16,-33245
1786865694.8351283,0.16,-33267
1786865694.8554268,0.16,-33289
1786865694.8766227,0.16,-33311
1786865694.8971264,0.16,-33334
1786865694.9142473,0.16,-33356
1786865694.937941,0.16,-33378
1786865694.9587564,0.16,-33400
1786865694.9740064,0.16,-33422
1786865694.994633,0.16,-33444
1786865695.019561,0.15,-33466
1786865695.0363748,0.15,-33488
1786865695.0594456,0.15,-33510
1786865695.0779784,0.15,-33531
1786865695.1011887,0.15,-33553
1786865695.1220293,0.15,-33575
1786865695.1407256,0.15,-33597
1786865695.163111,0.16,-33619
1786865695.1809413,0.15,-33641
1786865695.2030044,0.15,-33662
1786865695.2246406,0.15,-33685
1786865695.2452455,0.15,-33707
1786865695.2655811,0.16,-33729
1786865695.280928,0.15,-33752
1786865695.305913,0.15,-33774
1786865695.3267639,0.15,-33796
1786865695.3475344,0.16,-33818
1786865695.3683996,0.16,-33841
1786865695.3861089,0.16,-33863
1786865695.4084592,0.16,-33885
1786865695.4276898,0.16,-33907
1786865695.4462595,0.16,-33929
1786865695.467312,0.16,-33951
1786865695.4879806,0.16,-33972
1786865695.5115051,0.16,-33994
1786865695.5320106,0.16,-34016
1786865695.5523221,0.16,-34038
1786865695.5728285,0.16,-34060
1786865695.5926287,0.17,-34082
1786865695.6124508,0.17,-34104
1786865695.633545,0.17,-34126
1786865695.654725,0.17,-34148
1786865695.6752906,0.17,-34170
1786865695.694871,0.17,-34193
1786865695.7163596,0.17,-34215
1786865695.7369,0.17,-34237
1786865695.7535937,0.17,-34259
1786865695.772327,0.17,-34281
1786865695.7951689,0.17,-34302
1786865695.8184814,0.17,-34324
1786865695.8348296,0.17,-34345
1786865695.8580163,0.17,-34367
1786865695.8782241,0.17,-34389
1786865695.8972907,0.17,-34411
1786865695.920419,0.17,-34433
1786865695.9414034,0.18,-34455
1786865695.9619927,0.18,-34477
1786865695.9805946,0.18,-34499
1786865696.0011132,0.18,-34520
1786865696.0230312,0.18,-34543
1786865696.043194,0.18,-34565
1786865696.064114,0.18,-34587
1786865696.084763,0.18,-34608
1786865696.1043704,0.19,-34630
1786865696.1259773,0.18,-34652
1786865696.146409,0.18,-34674
1786865696.1668487,0.18,-34695
1786865696.184882,0.18,-34717
1786865696.2058182,0.18,-34738
1786865696.225777,0.18,-34760
1786865696.2468364,0.18,-34782
1786865696.2653236,0.18,-34804
1786865696.2885928,0.18,-34826
1786865696.3073618,0.18,-34848
1786865696.3279245,0.18,-34869
1786865696.3485916,0.18,-34892
1786865696.3719323,0.18,-34914
1786865696.3904643,0.18,-34936
1786865696.409878,0.18,-34958
1786865696.4319704,0.18,-34980
1786865696.4533622,0.18,-35003
1786865696.4737172,0.18,-35024
1786865696.4944398,0.18,-35045
1786865696.5140314,0.18,-35067
1786865696.531479,0.18,-35088
1786865696.556162,0.18,-35109
1786865696.5728528,0.17,-35131
1786865696.5967085,0.17,-35152
1786865696.6162875,0.18,-35174
1786865696.6332672,0.18,-35195
1786865696.6569006,0.17,-35217
1786865696.6749544,0.18,-35239
1786865696.6990807,0.17,-35260
1786865696.7154293,0.17,-35282
1786865696.737708,0.18,-35305
1786865696.7597148,0.18,-35328
1786865696.7813299,0.17,-35349
1786865696.7998004,0.17,-35371
1786865696.8199344,0.17,-35393
1786865696.8415587,0.17,-35415
1786865696.8633983,0.17,-35437
1786865696.883585,0.17,-35459
1786865696.9041693,0.17,-35481
1786865696.923667,0.17,-35503
1786865696.9452934,0.17,-35525
1786865696.9653254,0.18,-35547
1786865696.9849799,0.17,-35569
1786865697.006968,0.18,-35591
1786865697.0216143,0.18,-35614
1786865697.0473537,0.18,-35635
1786865697.066161,0.18,-35657
1786865697.088338,0.18,-35679
1786865697.1081924,0.18,-35701
1786865697.1260676,0.18,-35724
1786865697.1473098,0.18,-35745
1786865697.1706688,0.18,-35767
1786865697.190788,0.18,-35788
1786865697.2095208,0.18,-35810
1786865697.2318554,0.18,-35832
1786865697.2512314,0.19,-35854
1786865697.2729418,0.19,-35875
1786865697.2928638,0.19,-35896
1786865697.3140826,0.19,-35918
1786865697.333258,0.19,-35940
1786865697.353854,0.19,-35962
1786865697.3754969,0.19,-35984
1786865697.3958173,0.19,-36006
1786865697.4133604,0.19,-36028
1786865697.4318404,0.19,-36050
1786865697.456351,0.19,-36072
1786865697.473418,0.19,-36094
1786865697.4973464,0.19,-36116
1786865697.515578,0.19,-36138
1786865697.5376837,0.19,-36160
1786865697.556562,0.19,-36182
1786865697.576314,0.19,-36204
1786865697.60013,0.19,-36227
1786865697.6209872,0.19,-36249
1786865697.6395237,0.19,-36271
1786865697.6610646,0.19,-36293
1786865697.6819208,0.19,-36315
1786865697.7025247,0.19,-36337
1786865697.7197993,0.20,-36359
1786865697.7441723,0.20,-36381
1786865697.7637355,0.20,-36403
1786865697.7836976,0.20,-36425
1786865697.8053865,0.20,-36447
1786865697.8253355,0.20,-36469
1786865697.840276,0.20,-36491
1786865697.8636918,0.20,-36513
1786865697.884348,0.21,-36535
1786865697.9041195,0.21,-36556
1786865697.9284396,0.21,-36578
1786865697.9462402,0.22,-36600
1786865697.9666708,0.22,-36622
1786865697.9892242,0.22,-36644
1786865698.0081007,0.22,-36666
1786865698.0289414,0.22,-36688
1786865698.049077,0.22,-36710
1786865698.0702012,0.22,-36731
1786865698.091499,0.22,-36753
1786865698.1122775,0.22,-36775
1786865698.1332312,0.22,-36798
1786865698.1528063,0.22,-36820
1786865698.1735134,0.22,-36842
1786865698.1944616,0.22,-36864
1786865698.2150805,0.22,-36886
1786865698.2358437,0.22,-36908
1786865698.2557971,0.22,-36930
1786865698.2720559,0.22,-36953
1786865698.2969902,0.22,-36975
1786865698.3137531,0.22,-36997
1786865698.334318,0.22,-37019
1786865698.3578453,0.22,-37041
1786865698.3759425,0.22,-37063
1786865698.3991754,0.22,-37085
1786865698.418273,0.22,-37107
1786865698.4402487,0.22,-37129
1786865698.4593418,0.21,-37151
1786865698.480375,0.21,-37173
1786865698.501013,0.21,-37195
1786865698.5212972,0.21,-37217
1786865698.5426788,0.21,-37240
1786865698.5623772,0.22,-37262
1786865698.5839558,0.22,-37285
1786865698.604495,0.22,-37307
1786865698.624743,0.21,-37329
1786865698.645508,0.21,-37351
1786865698.6603754,0.21,-37372
1786865698.6834693,0.22,-37394
1786865698.70236,0.21,-37416
1786865698.7250144,0.21,-37438
1786865698.744,0.21,-37460
1786865698.7604654,0.21,-37482
1786865698.78722,0.21,-37505
1786865698.8079288,0.21,-37527
1786865698.8270042,0.21,-37549
1786865698.848891,0.21,-37571
1786865698.869187,0.21,-37594
