timestamp,headingDeg,encCountR,encCountL,wL,wF,wR
1789541717.9674432,0.35,-1,0,2644,2883,2419
1789541717.988145,0.35,-1,0,2646,2883,2418
1789541718.0101147,0.35,-1,0,2644,2882,2418
1789541718.0297062,0.35,-1,0,2646,2882,2420
1789541718.050544,0.36,-1,0,2644,2883,2420
1789541718.0713437,0.35,-1,0,2644,2883,2419
1789541718.0922601,0.35,-1,0,2644,2883,2419
1789541718.1121697,0.36,-1,0,2644,2883,2420
1789541718.1333213,0.36,-1,0,2644,2884,2417
1789541718.153907,0.36,-1,0,2644,2884,2417
1789541718.1746655,0.36,-1,0,2644,2884,2416
1789541718.1951087,0.36,-1,0,2644,2882,2418
1789541718.2123427,0.35,-1,0,2646,2883,2417
1789541718.231756,0.35,-1,0,2644,2883,2418
1789541718.2556784,0.36,-1,0,2644,2887,2416
1789541718.2769177,0.36,-1,0,2645,2884,2416
1789541718.2974498,0.36,-1,0,2644,2884,2417
1789541718.3187065,0.35,-1,0,2643,2884,2421
1789541718.3355484,0.36,-1,0,2644,2884,2416
1789541718.3576212,0.35,-1,0,2645,2884,2416
1789541718.377327,0.35,-1,0,2644,2884,2418
1789541718.3983552,0.35,-1,0,2645,2883,2414
1789541718.4194236,0.35,-1,0,2644,2883,2417
1789541718.4403744,0.36,-1,0,2644,2884,2416
1789541718.4610624,0.36,-1,0,2643,2882,2414
1789541718.4818857,0.36,-1,0,2644,2882,2416
1789541718.5031219,0.36,-1,0,2643,2884,2417
1789541718.52379,0.36,-1,0,2644,2884,2415
1789541718.5437233,0.36,-1,0,2645,2883,2417
1789541718.5645337,0.36,-1,0,2644,2883,2417
1789541718.5852683,0.36,-1,0,2645,2883,2415
1789541718.606151,0.35,-1,0,2644,2883,2414
1789541718.6261313,0.36,-1,0,2644,2885,2413
1789541718.6468363,0.35,-1,0,2645,2883,2414
1789541718.667672,0.35,-1,0,2645,2884,2414
1789541718.6829038,0.35,-1,0,2644,2883,2413
1789541718.7066944,0.35,-1,0,2645,2883,2413
1789541718.7276597,0.35,-1,0,2644,2884,2413
1789541718.7489488,0.35,-1,0,2644,2883,2414
1789541718.7660637,0.36,-1,0,2645,2885,2414
1789541718.7878056,0.36,-1,0,2645,2883,2414
1789541718.8105938,0.36,-1,0,2644,2883,2415
1789541718.8309815,0.36,-1,0,2645,2883,2412
1789541718.8500555,0.36,-1,0,2645,2883,2415
1789541718.8711689,0.36,-1,0,2643,2883,2413
1789541718.8917537,0.36,-1,0,2644,2883,2414
1789541718.9126515,0.35,-1,0,2644,2883,2415
1789541718.9337068,0.36,-1,0,2643,2883,2412
1789541718.9551518,0.36,-1,0,2645,2884,2415
1789541718.9740667,0.36,-1,0,2645,2883,2414
1789541718.9945006,0.36,-1,0,2644,2883,2416
1789541719.0155993,0.35,-1,0,2645,2884,2412
1789541719.0366266,0.36,-1,0,2644,2883,2414
1789541719.0568388,0.36,-1,0,2644,2883,2412
1789541719.0782552,0.36,-1,0,2644,2883,2412
1789541719.098982,0.41,-1,0,2644,2883,2414
1789541719.1188583,0.58,-1,0,2640,2884,2412
1789541719.1397197,0.81,-1,0,2644,2884,2413
1789541719.160582,0.81,-1,0,2644,2886,2413
1789541719.1807122,0.80,-1,0,2644,2883,2413
1789541719.1983058,0.80,-1,0,2645,2883,2413
1789541719.2216,0.80,-1,0,2644,2884,2412
1789541719.237979,0.81,-1,0,2644,2884,2413
1789541719.262961,0.82,-1,0,2643,2883,2412
1789541719.281268,0.82,-1,0,2645,2884,2413
1789541719.3041487,0.82,-1,0,2643,2885,2413
1789541719.3210938,0.82,-1,0,2644,2884,2414
1789541719.3440444,0.80,-1,0,2644,2886,2414
1789541719.3624663,0.79,-1,0,2644,2883,2414
1789541719.3863556,0.79,-1,0,2638,2883,2412
1789541719.4043887,0.79,-1,0,2644,2884,2413
1789541719.4274912,0.79,-1,0,2646,2883,2412
