timestamp,headingDeg,encCountR,encCountL,wL,wF,wR
1789542394.8306818,-1.54,-1743,1373,2853,2918,2239
1789542394.8529398,-1.47,-1755,1382,2852,2919,2245
1789542394.8724308,-1.51,-1768,1388,2853,2920,2244
1789542394.894094,-1.47,-1780,1397,2851,2920,2244
1789542394.9111307,-1.48,-1793,1405,2852,2920,2244
1789542394.9337878,-1.37,-1805,1415,2852,2919,2244
1789542394.9556484,-1.30,-1818,1419,2853,2923,2245
1789542394.973721,-1.20,-1830,1427,2852,2919,2244
1789542394.9966662,-1.15,-1843,1434,2852,2920,2245
1789542395.0153008,-1.10,-1856,1441,2852,2919,2248
1789542395.0360398,-1.00,-1868,1444,2847,2919,2245
1789542395.0569332,-0.96,-1881,1452,2853,2922,2242
1789542395.0768437,-0.90,-1894,1464,2853,2920,2242
1789542395.0985568,-0.86,-1907,1473,2852,2919,2243
1789542395.119468,-0.84,-1920,1478,2852,2920,2244
1789542395.1404219,-0.77,-1933,1490,2852,2920,2243
1789542395.1612399,-0.80,-1946,1493,2852,2921,2242
1789542395.1809855,-0.87,-1959,1503,2849,2919,2243
1789542395.2016034,-0.85,-1972,1514,2847,2919,2244
1789542395.2232554,-0.80,-1985,1524,2840,2919,2242
1789542395.2434652,-0.79,-1998,1535,2841,2917,2242
1789542395.264299,-0.73,-2010,1541,2840,2920,2243
1789542395.283791,-0.65,-2023,1551,2840,2918,2241
1789542395.3000782,-0.57,-2036,1552,2839,2919,2243
1789542395.325359,-0.58,-2049,1558,2841,2919,2242
1789542395.341626,-0.59,-2061,1562,2840,2921,2241
1789542395.366498,-0.63,-2074,1576,2853,2920,2242
1789542395.3832867,-0.63,-2086,1585,2852,2920,2242
1789542395.4074624,-0.64,-2099,1599,2852,2919,2240
1789542395.424887,-0.63,-2112,1610,2852,2920,2240
1789542395.4457872,-0.60,-2124,1621,2852,2919,2240
1789542395.4658306,-0.53,-2137,1626,2840,2919,2234
1789542395.4873884,-0.55,-2149,1631,2852,2920,2240
1789542395.510718,-0.52,-2162,1637,2853,2917,2240
1789542395.5312054,-0.56,-2174,1650,2850,2916,2238
1789542395.551362,-0.55,-2186,1656,2852,2919,2239
1789542395.5705452,-0.55,-2199,1659,2853,2918,2238
1789542395.5915763,-0.56,-2211,1666,2853,2920,2239
1789542395.6122742,-0.50,-2224,1666,2854,2919,2238
1789542395.633203,-0.60,-2236,1666,2852,2920,2238
1789542395.653902,-0.58,-2248,1666,2852,2918,2238
1789542395.6750188,-0.60,-2261,1667,2853,2919,2239
1789542395.6947768,-0.57,-2273,1667,2853,2920,2239
1789542395.715644,-0.65,-2285,1675,2853,2919,2239
1789542395.7360885,-0.65,-2297,1675,2853,2920,2240
1789542395.7514458,-0.67,-2309,1675,2852,2919,2238
1789542395.7720907,-0.71,-2321,1675,2852,2919,2239
1789542395.7924972,-0.67,-2333,1675,2852,2917,2238
1789542395.818314,-0.66,-2345,1675,2852,2919,2239
1789542395.838518,-0.53,-2358,1675,2852,2919,2238
1789542395.8553839,-0.61,-2370,1675,2852,2920,2240
1789542395.8753965,-0.57,-2382,1675,2853,2919,2240
1789542395.9005756,-0.57,-2394,1675,2853,2920,2239
1789542395.921142,-0.55,-2407,1678,2853,2920,2239
1789542395.93867,-0.55,-2419,1684,2853,2920,2237
1789542395.9622521,-0.62,-2432,1689,2853,2920,2241
1789542395.9803324,-0.67,-2444,1693,2852,2917,2238
1789542396.003665,-0.73,-2456,1698,2853,2919,2237
1789542396.0221725,-0.75,-2468,1698,2852,2920,2238
1789542396.0442264,-0.79,-2480,1703,2851,2919,2237
1789542396.063597,-0.84,-2492,1703,2852,2920,2236
1789542396.0845659,-0.85,-2504,1703,2852,2920,2237
