timestamp,whiskerL,whiskerF,whiskerR
1789539139.2543225,2547,2216,2556
1789539139.2991374,2546,2214,2555
1789539139.3476574,2546,2213,2557
1789539139.404348,2546,2212,2555
1789539139.4518228,2547,2214,2556
1789539139.492911,2549,2213,2556
1789539139.5551333,2547,2213,2556
1789539139.6038187,2547,2214,2555
1789539139.645778,2547,2215,2556
1789539139.7040668,2549,2211,2555
1789539139.7503982,2546,2214,2556
1789539139.797353,2547,2214,2555
1789539139.8554702,2546,2213,2555
1789539139.9024801,2546,2214,2556
1789539139.944907,2547,2214,2555
1789539140.002402,2546,2214,2556
1789539140.0557644,2547,2215,2555
1789539140.1028495,2547,2214,2556
1789539140.155357,2547,2245,2556
1789539140.2059083,2546,2266,2556
1789539140.2426815,2546,2266,2557
1789539140.3061938,2546,2266,2555
1789539140.3537905,2546,2266,2556
1789539140.4061759,2546,2266,2556
1789539140.4562926,2547,2266,2558
1789539140.506403,2546,2266,2556
1789539140.556461,2546,2267,2556
1789539140.606459,2547,2267,2556
1789539140.6460707,2546,2266,2556
1789539140.70658,2546,2266,2556
1789539140.7500157,2546,2266,2556
1789539140.806852,2547,2267,2556
1789539140.8544068,2547,2271,2556
1789539140.9070258,2546,2300,2556
1789539140.9508967,2547,2328,2556
1789539141.0072427,2546,2353,2555
1789539141.0570168,2546,2353,2555
1789539141.1063411,2547,2352,2556
1789539141.1568522,2547,2352,2555
1789539141.2073944,2547,2353,2556
1789539141.2424212,2546,2352,2556
1789539141.3075392,2546,2352,2555
1789539141.3564532,2547,2352,2556
1789539141.4074788,2546,2350,2558
1789539141.443603,2546,2353,2556
1789539141.5076962,2546,2353,2555
1789539141.556371,2546,2352,2556
1789539141.6077778,2546,2351,2556
1789539141.6550643,2547,2352,2556
1789539141.7077096,2546,2352,2556
1789539141.750076,2542,2353,2556
1789539141.8078222,2546,2354,2555
1789539141.8580546,2546,2355,2557
1789539141.9080489,2546,2353,2555
1789539141.943632,2547,2352,2556
1789539142.0082734,2547,2352,2555
1789539142.0485435,2547,2352,2556
1789539142.1083567,2547,2352,2555
1789539142.1583984,2547,2353,2556
1789539142.208468,2547,2351,2555
1789539142.243238,2547,2352,2555
1789539142.308678,2549,2353,2555
1789539142.346383,2547,2352,2555
1789539142.4090254,2546,2353,2556
1789539142.4573705,2546,2352,2555
1789539142.5092251,2548,2351,2555
1789539142.5545993,2546,2355,2556
1789539142.6091125,2546,2354,2556
