timestamp,rawL,rawR
1786722540.748968,734,194
1786722540.8104,733,194
1786722540.8602762,731,195
1786722540.902002,732,195
1786722540.959108,732,195
1786722541.010548,731,196
1786722541.054727,731,196
1786722541.0957563,730,196
1786722541.1607475,726,196
1786722541.2075014,717,196
1786722541.2506764,704,196
1786722541.3108425,701,196
1786722541.3601868,701,196
1786722541.400872,700,196
1786722541.460905,700,198
1786722541.5110292,700,197
1786722541.554492,700,198
1786722541.596356,697,198
1786722541.661231,661,196
1786722541.7067375,622,195
1786722541.7485187,585,192
1786722541.8108072,502,183
1786722541.853143,422,177
1786722541.910811,359,173
1786722541.961348,338,172
1786722542.0051236,336,173
1786722542.0475447,342,173
1786722542.1100302,345,175
1786722542.1602802,337,173
1786722542.2105653,319,172
1786722542.2550223,298,172
1786722542.3115473,257,169
1786722542.3522198,245,169
1786722542.4098876,252,169
1786722542.4564028,264,170
1786722542.497888,261,171
1786722542.5603707,255,170
1786722542.6020753,238,169
1786722542.6618242,161,161
1786722542.70709,74,156
1786722542.7475154,31,155
1786722542.8113215,26,155
1786722542.852892,38,156
1786722542.9106069,139,164
1786722542.9564736,257,175
1786722542.9988403,297,177
1786722543.061304,313,179
1786722543.1028142,316,179
1786722543.1615832,317,179
1786722543.2061589,318,180
1786722543.254421,318,179
1786722543.301962,318,180
1786722543.3587885,319,180
1786722543.410776,320,182
1786722543.4490654,321,182
1786722543.511722,321,182
1786722543.5604773,320,181
1786722543.6015232,320,182
1786722543.6595488,299,180
1786722543.7125144,214,172
1786722543.7550325,41,158
1786722543.797156,1022,344
1786722543.8626883,1022,222
1786722543.912773,48,162
1786722543.9562712,184,176
1786722543.9981697,293,183
1786722544.0628588,328,185
1786722544.1096475,334,186
1786722544.1514459,335,186
1786722544.212526,335,187
1786722544.255443,335,187
1786722544.3129933,335,186
1786722544.3630679,335,187
1786722544.4082222,335,186
1786722544.4566927,323,186
1786722544.505406,250,179
1786722544.5630238,119,170
1786722544.613262,52,164
1786722544.659657,42,164
1786722544.6998441,54,166
1786722544.761681,127,174
1786722544.8129804,260,185
1786722544.8589146,330,190
1786722544.9012177,358,195
1786722544.9627235,374,196
1786722545.0122259,377,196
1786722545.059865,377,196
1786722545.1025953,366,195
1786722545.1634219,331,192
1786722545.2135966,225,180
1786722545.2546499,116,173
1786722545.3128397,60,171
1786722545.3638315,48,168
1786722545.408016,51,170
1786722545.4496899,121,177
1786722545.5121982,249,187
1786722545.557938,330,196
1786722545.6139445,349,198
1786722545.6633039,350,196
1786722545.706602,350,198
1786722545.764016,350,198
1786722545.8108416,350,198
1786722545.8618014,350,198
1786722545.9009697,364,200
1786722545.9641593,398,202
1786722546.0111434,450,208
1786722546.0536706,490,209
1786722546.1143444,510,214
1786722546.1635056,536,215
1786722546.2064097,547,217
1786722546.2641506,566,218
1786722546.3106458,574,218
1786722546.3643963,581,220
1786722546.4139946,589,220
1786722546.4634094,595,222
1786722546.5113878,601,221
1786722546.5632844,600,220
1786722546.6022577,597,221
1786722546.663851,597,221
1786722546.7132914,596,222
1786722546.7648842,597,222
1786722546.8148232,595,222
1786722546.864771,597,222
1786722546.9076004,625,225
1786722546.9493706,701,229
1786722547.014864,740,228
1786722547.0603526,744,229
1786722547.1147141,744,228
1786722547.164957,744,229
1786722547.2055745,743,228
1786722547.265089,744,228
1786722547.3144217,744,229
1786722547.3580968,743,229
1786722547.3997061,743,228
1786722547.465104,743,228
1786722547.510823,737,229
1786722547.5525658,718,229
1786722547.615009,706,228
1786722547.66236,703,229
1786722547.7141998,702,228
1786722547.765536,702,229
1786722547.8102953,703,228
1786722547.8518603,727,228
1786722547.9156244,741,229
1786722547.963016,748,231
1786722548.0149684,748,229
1786722548.053359,748,229
1786722548.1157606,748,231
1786722548.1643977,748,231
1786722548.2151232,747,230
1786722548.2659159,748,231
1786722548.3089242,748,230
1786722548.3519006,747,229
1786722548.4160128,748,229
1786722548.4629495,748,229
1786722548.5037253,748,230
1786722548.5654745,745,229
1786722548.600939,720,229
1786722548.663107,671,228
1786722548.7056203,598,223
1786722548.7662635,576,222
1786722548.8031237,578,223
1786722548.8654065,584,223
1786722548.9072192,587,224
1786722548.9649584,586,223
1786722549.0115228,581,223
1786722549.053178,581,223
1786722549.1165266,582,223
1786722549.163172,583,223
1786722549.2127504,583,223
1786722549.2535505,583,223
1786722549.3167794,582,223
1786722549.3586264,582,223
1786722549.416295,582,224
1786722549.4667802,584,223
1786722549.5043375,586,222
1786722549.566804,596,223
1786722549.6084604,613,225
1786722549.6668992,634,227
1786722549.712666,704,231
1786722549.7669742,774,233
1786722549.8098216,821,231
1786722549.851555,849,231
1786722549.91646,853,231
1786722549.962698,854,230
1786722550.0039272,853,231
1786722550.0671363,853,230
1786722550.1146662,853,230
1786722550.1571016,853,229
1786722550.2135794,852,229
1786722550.2671864,852,229
1786722550.3023672,851,229
1786722550.367415,849,228
1786722550.4140031,849,229
1786722550.4556117,849,229
1786722550.5173323,849,228
1786722550.5666718,849,229
1786722550.6083672,849,228
1786722550.6676135,849,227
1786722550.717694,849,226
1786722550.7611616,849,226
1786722550.8167107,849,227
1786722550.8583355,849,227
1786722550.9178362,848,227
1786722550.967816,847,227
1786722551.011108,838,225
1786722551.0528088,796,223
1786722551.1179874,715,222
1786722551.162944,630,218
1786722551.2167497,561,215
1786722551.254111,509,206
1786722551.3180137,474,204
1786722551.3647826,469,204
1786722551.4063125,472,204
1786722551.4677691,474,205
1786722551.5178578,475,204
1786722551.5596218,476,204
1786722551.616759,477,204
1786722551.6683493,478,202
1786722551.7119918,481,202
1786722551.7603786,488,204
1786722551.8171403,504,205
1786722551.8651083,543,207
1786722551.9067714,624,218
1786722551.968372,719,220
1786722552.0173037,769,220
1786722552.059513,797,221
1786722552.1171608,823,220
1786722552.1687136,843,218
1786722552.2179146,864,218
1786722552.2530916,882,218
1786722552.3155143,894,218
1786722552.3571281,907,218
1786722552.405973,925,219
1786722552.4680498,936,218
1786722552.50983,941,216
1786722552.5672696,950,216
1786722552.6149135,955,216
1786722552.656647,960,217
1786722552.719042,961,215
1786722552.7683454,962,215
1786722552.815984,962,215
1786722552.8578832,961,214
1786722552.9191346,958,214
1786722552.9621155,957,214
1786722553.0192597,955,214
1786722553.0693936,953,212
1786722553.1147733,950,209
1786722553.1564882,949,212
1786722553.2192569,949,209
1786722553.2606301,948,207
1786722553.3194733,948,207
1786722553.3638191,943,207
1786722553.405966,935,207
1786722553.4550714,924,205
1786722553.5175555,908,204
1786722553.559183,891,203
1786722553.6159232,868,202
1786722553.663329,833,201
1786722553.7050195,790,200
1786722553.7674692,752,200
1786722553.8167582,728,200
1786722553.8647168,718,200
1786722553.9063218,708,199
1786722553.9700513,700,199
1786722554.0174663,684,198
1786722554.0590792,676,198
1786722554.1191769,674,198
1786722554.1701198,674,197
1786722554.2188637,675,196
1786722554.26949,677,196
1786722554.3202157,676,196
1786722554.370235,676,194
1786722554.4128199,676,194
1786722554.4548597,678,194
1786722554.5173693,678,194
1786722554.5583212,678,193
1786722554.620188,678,193
1786722554.6699831,679,193
1786722554.711736,679,189
1786722554.7694218,679,188
1786722554.820623,679,189
1786722554.8645284,679,187
1786722554.9060776,679,187
1786722554.9707835,679,187
1786722555.019812,679,187
1786722555.0657902,680,187
1786722555.1074798,681,186
1786722555.1708548,682,186
1786722555.2199266,683,185
1786722555.2693243,685,185
1786722555.3207822,691,185
1786722555.3569515,698,185
1786722555.4211736,701,185
1786722555.468464,702,185
1786722555.5095267,703,184
1786722555.571139,703,183
1786722555.6138477,704,186
1786722555.6560397,704,184
1786722555.7212875,704,183
1786722555.767227,704,183
1786722555.8152955,704,185
1786722555.8705103,704,184
1786722555.9198184,704,184
1786722555.9610221,704,185
1786722556.0215313,704,184
1786722556.065593,704,184
1786722556.114228,704,185
1786722556.1717308,705,184
1786722556.2212691,704,185
1786722556.2599041,705,185
1786722556.3216891,704,185
1786722556.3711362,705,184
1786722556.4179275,705,185
